;;;;;;
Name;Coord;Name_Plan;X;Y;Lat;Lon
P1;X1;B.01;446212.719;571833.489;;
;X2;B.02;446272.082;571824.797;;
;X3;B.03;446450.628;571801.943;;
;X4;B.04;446448.363;571786.044;;
;X5;B.05;446442.879;571747.550;;
;X6;B.06;446205.574;571783.342;;
P2;X1;B.07;446203.882;571771.462;;
;X2;B.08;446322.534;571753.567;;
;X3;B.09;446314.071;571694.169;;
;X4;B.10;446195.419;571712.065;;
P3;X1;B.11;446334.399;571751.777;;
;X2;B.12;446440.577;571735.763;;
;X3;B.13;446429.957;571676.691;;
;X4;B.14;446325.936;571692.380;;
